Date,High,Low,Open,Close,Volume,Adj Close
2021-01-14,514.5,499.5799865722656,507.3500061035156,500.8599853515625,4177400,500.8599853515625
2021-01-15,506.32000732421875,495.1000061035156,500.0,497.9800109863281,5895800,497.9800109863281
2021-01-19,509.25,493.5400085449219,501.0,501.7699890136719,12315800,501.7699890136719
2021-01-20,593.2899780273438,556.8599853515625,565.4199829101562,586.3400268554688,32637500,586.3400268554688
2021-01-21,588.75,570.4000244140625,582.4500122070312,579.8400268554688,11840600,579.8400268554688
2021-01-22,583.989990234375,564.3499755859375,582.0999755859375,565.1699829101562,7550800,565.1699829101562
2021-01-25,569.75,548.6500244140625,567.0,556.780029296875,7207300,556.780029296875
2021-01-26,567.989990234375,554.0599975585938,554.72998046875,561.9299926757812,5023800,561.9299926757812
2021-01-27,556.4199829101562,515.72998046875,550.7100219726562,523.280029296875,8670300,523.280029296875
2021-01-28,553.1500244140625,530.739990234375,535.8800048828125,538.5999755859375,5969000,538.5999755859375
2021-01-29,541.0,530.1799926757812,538.0,532.3900146484375,4325300,532.3900146484375
2021-02-01,545.0599975585938,531.72998046875,536.7899780273438,539.0399780273438,3547500,539.0399780273438
2021-02-02,555.47998046875,538.9299926757812,542.010009765625,548.1599731445312,3767600,548.1599731445312
2021-02-03,550.47998046875,538.239990234375,550.1699829101562,539.4500122070312,3172300,539.4500122070312
2021-02-04,559.47998046875,537.510009765625,539.8099975585938,552.1599731445312,5164500,552.1599731445312
2021-02-05,554.4400024414062,545.47998046875,552.260009765625,550.7899780273438,2376200,550.7899780273438
2021-02-08,555.0,543.7000122070312,555.0,547.9199829101562,2791700,547.9199829101562
2021-02-09,566.0,543.0,546.0,559.0700073242188,3703500,559.0700073242188
2021-02-10,566.6500244140625,553.4600219726562,562.5,563.5900268554688,3991300,563.5900268554688
2021-02-11,565.9299926757812,554.219970703125,564.4400024414062,557.5900268554688,2730600,557.5900268554688
2021-02-12,561.25,550.8499755859375,556.9400024414062,556.52001953125,2197100,556.52001953125
2021-02-16,563.6300048828125,552.72998046875,557.2899780273438,557.280029296875,2624100,557.280029296875
2021-02-17,555.25,543.030029296875,550.989990234375,551.3400268554688,2069600,551.3400268554688
2021-02-18,550.0,538.22998046875,549.0,548.219970703125,2456200,548.219970703125
2021-02-19,548.989990234375,538.8099975585938,548.0,540.219970703125,2841500,540.219970703125
2021-02-22,541.7899780273438,530.7899780273438,534.989990234375,533.780029296875,3078600,533.780029296875
2021-02-23,548.5399780273438,518.280029296875,525.0,546.1500244140625,4136500,546.1500244140625
2021-02-24,556.8499755859375,539.0700073242188,539.7999877929688,553.4099731445312,3245000,553.4099731445312
2021-02-25,556.47998046875,535.75,550.27001953125,546.7000122070312,4252900,546.7000122070312
2021-02-26,553.0900268554688,538.0,546.510009765625,538.8499755859375,3755600,538.8499755859375
2021-03-01,552.1400146484375,542.0,545.5700073242188,550.6400146484375,3041400,550.6400146484375
2021-03-02,556.989990234375,546.02001953125,553.3400268554688,547.8200073242188,3042200,547.8200073242188
2021-03-03,548.010009765625,517.8099975585938,545.9299926757812,520.7000122070312,5362400,520.7000122070312
2021-03-04,531.5,507.67999267578125,521.5,511.2900085449219,5034800,511.2900085449219
2021-03-05,517.760009765625,498.7900085449219,511.9800109863281,516.3900146484375,5070000,516.3900146484375
2021-03-08,518.8400268554688,492.8500061035156,514.4600219726562,493.3299865722656,3981800,493.3299865722656
2021-03-09,513.1099853515625,503.82000732421875,507.30999755859375,506.44000244140625,3470000,506.44000244140625
2021-03-10,518.969970703125,504.25,513.5,504.5400085449219,3771500,504.5400085449219
2021-03-11,530.239990234375,510.7099914550781,512.2000122070312,523.0599975585938,4714500,523.0599975585938
2021-03-12,526.510009765625,506.5899963378906,512.5,518.02001953125,3981700,518.02001953125
2021-03-15,520.72998046875,508.0299987792969,516.3200073242188,520.25,3484300,520.25
2021-03-16,533.4199829101562,523.2100219726562,524.469970703125,524.030029296875,3238900,524.030029296875
2021-03-17,528.3699951171875,514.2999877929688,522.0,524.4400024414062,2817400,524.4400024414062
2021-03-18,517.9000244140625,503.8500061035156,516.4000244140625,504.7900085449219,4096600,504.7900085449219
2021-03-19,513.1900024414062,501.6300048828125,504.9599914550781,512.1799926757812,4386400,512.1799926757812
2021-03-22,529.3099975585938,509.1300048828125,509.1300048828125,523.1099853515625,3360600,523.1099853515625
2021-03-23,543.1199951171875,529.4000244140625,529.8699951171875,535.0900268554688,5583500,535.0900268554688
